departure,arrival
"Denver, CO (DEN)","Pittsburgh, PA (PIT)"
"Denver, CO (DEN)","Portland, OR (PDX)"
"Denver, CO (DEN)","Puerto Vallarta, Mexico (PVR)"
"Denver, CO (DEN)","Raleigh, NC (RDU)"
"Denver, CO (DEN)","Reno, NV (RNO)"
"Denver, CO (DEN)",Richmond (RIC)
"Denver, CO (DEN)","Sacramento, CA (SMF)"
"Denver, CO (DEN)","Salt Lake City, UT (SLC)"
"Denver, CO (DEN)","San Antonio, TX (SAT)"
"Denver, CO (DEN)","San Diego, CA (SAN)"
"Denver, CO (DEN)","San Francisco, CA (SFO)"
"Denver, CO (DEN)","San Jose, CA (SJC)"
"Denver, CO (DEN)","Santa Ana, CA (SNA)"
"Denver, CO (DEN)","Seattle, WA (PAE)"
"Denver, CO (DEN)","Seattle, WA (SEA)"
"Denver, CO (DEN)","Sioux Falls, SD (FSD)"
"Denver, CO (DEN)","Spokane, WA (GEG)"
"Denver, CO (DEN)","St. Louis, MO (STL)"
"Denver, CO (DEN)","Tampa, FL (TPA)"
"Denver, CO (DEN)","Tucson, AZ (TUS)"
"Denver, CO (DEN)","Tulsa, OK (TUL)"
"Denver, CO (DEN)","Washington, D.C. (DCA)"
"Des Moines, IA (DSM)","Denver, CO (DEN)"
"Des Moines, IA (DSM)","Orlando, FL (MCO)"
"Detroit, MI (DTW)","Atlanta, GA (ATL)"
"Detroit, MI (DTW)","Baltimore, MD (BWI)"
"Detroit, MI (DTW)","Dallas, TX (DFW)"
"Detroit, MI (DTW)","Denver, CO (DEN)"
"Detroit, MI (DTW)","Fort Myers, FL (RSW)"
"Detroit, MI (DTW)","Las Vegas, NV (LAS)"
"Detroit, MI (DTW)","Orlando, FL (MCO)"
"Detroit, MI (DTW)","Phoenix, AZ (PHX)"
"Detroit, MI (DTW)","Raleigh, NC (RDU)"
"Detroit, MI (DTW)","Tampa, FL (TPA)"
"El Paso, TX (ELP)","Dallas, TX (DFW)"
"El Paso, TX (ELP)","Denver, CO (DEN)"
"El Paso, TX (ELP)","Las Vegas, NV (LAS)"
"Fargo, ND (FAR)","Denver, CO (DEN)"
"Fargo, ND (FAR)","Orlando, FL (MCO)"
"Fort Lauderdale, FL (FLL)","Atlanta, GA (ATL)"
"Fort Lauderdale, FL (FLL)","Cincinnati, OH (CVG)"
"Fort Lauderdale, FL (FLL)","Cleveland, OH (CLE)"
"Fort Lauderdale, FL (FLL)","Philadelphia, PA (PHL)"
"Fort Lauderdale, FL (FLL)","San Juan, PR (SJU)"
"Fort Myers, FL (RSW)","Atlanta, GA (ATL)"
"Fort Myers, FL (RSW)","Chicago, IL (ORD)"
"Fort Myers, FL (RSW)","Cincinnati, OH (CVG)"
"Fort Myers, FL (RSW)","Cleveland, OH (CLE)"
"Fort Myers, FL (RSW)","Denver, CO (DEN)"
"Fort Myers, FL (RSW)","Detroit, MI (DTW)"
"Fort Myers, FL (RSW)","Philadelphia, PA (PHL)"
"Fort Myers, FL (RSW)","Trenton, NJ (TTN)"
"Grand Rapids, MI (GRR)","Denver, CO (DEN)"
"Grand Rapids, MI (GRR)","Orlando, FL (MCO)"
"Grand Rapids, MI (GRR)","Tampa, FL (TPA)"
Guatemala City (GUA),"Atlanta, GA (ATL)"
"Harrisburg, PA (MDT)","Orlando, FL (MCO)"
"Hartford, CT (BDL)","Atlanta, GA (ATL)"
"Hartford, CT (BDL)","Orlando, FL (MCO)"
"Hartford, CT (BDL)","San Juan, PR (SJU)"
"Hartford, CT (BDL)","Tampa, FL (TPA)"
"Houston, TX (IAH)","Atlanta, GA (ATL)"
"Houston, TX (IAH)","Cancun, MX (CUN)"
"Houston, TX (IAH)","Charlotte, NC (CLT)"
"Houston, TX (IAH)","Chicago, IL (MDW)"
"Houston, TX (IAH)","Chicago, IL (ORD)"
"Houston, TX (IAH)","Cincinnati, OH (CVG)"
"Houston, TX (IAH)","Denver, CO (DEN)"
"Houston, TX (IAH)","Las Vegas, NV (LAS)"
"Houston, TX (IAH)","Los Angeles, CA (LAX)"
"Houston, TX (IAH)","Miami, FL (MIA)"
"Houston, TX (IAH)","Ontario/LA, CA (ONT)"
"Houston, TX (IAH)","Orlando, FL (MCO)"
"Houston, TX (IAH)","Phoenix, AZ (PHX)"
"Houston, TX (IAH)","Raleigh, NC (RDU)"
"Houston, TX (IAH)","Tampa, FL (TPA)"
"Indianapolis, IN (IND)","Atlanta, GA (ATL)"
"Indianapolis, IN (IND)","Dallas, TX (DFW)"
"Indianapolis, IN (IND)","Denver, CO (DEN)"
"Indianapolis, IN (IND)","Orlando, FL (MCO)"
"Indianapolis, IN (IND)","Raleigh, NC (RDU)"
"Indianapolis, IN (IND)","Tampa, FL (TPA)"
"Islip, NY (ISP)","Atlanta, GA (ATL)"
"Islip, NY (ISP)","Myrtle Beach, SC (MYR)"
"Islip, NY (ISP)","Orlando, FL (MCO)"
"Islip, NY (ISP)","Raleigh, NC (RDU)"
"Islip, NY (ISP)","Tampa, FL (TPA)"
"Islip, NY (ISP)","West Palm Beach, FL (PBI)"
"Jacksonville, FL (JAX)","Atlanta, GA (ATL)"
"Jacksonville, FL (JAX)","Philadelphia, PA (PHL)"
"Jacksonville, FL (JAX)","San Juan, PR (SJU)"
"Kansas City, MO (MCI)","Atlanta, GA (ATL)"
"Kansas City, MO (MCI)","Denver, CO (DEN)"
"Kansas City, MO (MCI)","Tampa, FL (TPA)"
"Knoxville, TN (TYS)","Denver, CO (DEN)"
"Las Vegas, NV (LAS)","Atlanta, GA (ATL)"
"Las Vegas, NV (LAS)","Austin, TX (AUS)"
"Las Vegas, NV (LAS)",Cabo San Lucas (SJD)
"Las Vegas, NV (LAS)","Chicago, IL (MDW)"
"Las Vegas, NV (LAS)","Chicago, IL (ORD)"
"Las Vegas, NV (LAS)","Cincinnati, OH (CVG)"
"Las Vegas, NV (LAS)","Cleveland, OH (CLE)"
"Las Vegas, NV (LAS)","Dallas, TX (DFW)"
"Las Vegas, NV (LAS)","Denver, CO (DEN)"
